Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
22,2,,,26003,Paul Hilfinger,,Computer Science,9A,1,Credit,Non-Letter Grade,Pass,Programmers' Matlab
27,4,,,26003,Paul Hilfinger,,Computer Science,9A,1,No Credit,Non-Letter Grade,Not Pass,Programmers' Matlab
30,4,,,26003,Paul Hilfinger,,Computer Science,9A,1,Administrative Code,Administrative Code,Incomplete,Programmers' Matlab
36,2,,,26003,Paul Hilfinger,,Computer Science,9A,1,Administrative Code,Administrative Code,Unknown,Programmers' Matlab
22,8,,,26006,Paul Hilfinger,,Computer Science,9C,1,Credit,Non-Letter Grade,Pass,Programmers' C
27,5,,,26006,Paul Hilfinger,,Computer Science,9C,1,No Credit,Non-Letter Grade,Not Pass,Programmers' C
30,1,,,26006,Paul Hilfinger,,Computer Science,9C,1,Administrative Code,Administrative Code,Incomplete,Programmers' C
22,3,,,26009,Paul Hilfinger,,Computer Science,9D,1,Credit,Non-Letter Grade,Pass,Programmers' Scheme
22,26,,,26011,David Culler; Katherine Yelick,,Computer Science,24,2,Credit,Non-Letter Grade,Pass,Freshman Seminars
22,35,,,26012,Paul Hilfinger,,Computer Science,9E,1,Credit,Non-Letter Grade,Pass,Productive Unix Use
27,31,,,26012,Paul Hilfinger,,Computer Science,9E,1,No Credit,Non-Letter Grade,Not Pass,Productive Unix Use
30,15,,,26012,Paul Hilfinger,,Computer Science,9E,1,Administrative Code,Administrative Code,Incomplete,Productive Unix Use
36,4,,,26012,Paul Hilfinger,,Computer Science,9E,1,Administrative Code,Administrative Code,Unknown,Productive Unix Use
22,20,,,26015,Paul Hilfinger,,Computer Science,9F,1,Credit,Non-Letter Grade,Pass,Programmers' C++
25,2,,,26015,Paul Hilfinger,,Computer Science,9F,1,Credit,Non-Letter Grade,Satisfactory,Programmers' C++
27,11,,,26015,Paul Hilfinger,,Computer Science,9F,1,No Credit,Non-Letter Grade,Not Pass,Programmers' C++
