Grade Sort Nbr,Enrollment Cnt,% Grades Receivedof Enrollment,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,7,,,28605,Pierce Vollucci,4,Computer Science,10,1,A,Letter Grade,A+,Beauty Joy Computng
2,11,,,28605,Pierce Vollucci,4,Computer Science,10,1,A,Letter Grade,A,Beauty Joy Computng
3,11,,,28605,Pierce Vollucci,3.7,Computer Science,10,1,A,Letter Grade,A-,Beauty Joy Computng
4,4,,,28605,Pierce Vollucci,3.3,Computer Science,10,1,B,Letter Grade,B+,Beauty Joy Computng
5,3,,,28605,Pierce Vollucci,3,Computer Science,10,1,B,Letter Grade,B,Beauty Joy Computng
6,3,,,28605,Pierce Vollucci,2.7,Computer Science,10,1,B,Letter Grade,B-,Beauty Joy Computng
7,1,,,28605,Pierce Vollucci,2.3,Computer Science,10,1,C,Letter Grade,C+,Beauty Joy Computng
8,1,,,28605,Pierce Vollucci,2,Computer Science,10,1,C,Letter Grade,C,Beauty Joy Computng
9,1,,,28605,Pierce Vollucci,1.7,Computer Science,10,1,C,Letter Grade,C-,Beauty Joy Computng
13,4,,,28605,Pierce Vollucci,0,Computer Science,10,1,F,Letter Grade,F,Beauty Joy Computng
22,4,,,28605,Pierce Vollucci,,Computer Science,10,1,Credit,Non-Letter Grade,Pass,Beauty Joy Computng
25,1,,,28605,Pierce Vollucci,,Computer Science,10,1,Credit,Non-Letter Grade,Satisfactory,Beauty Joy Computng
27,2,,,28605,Pierce Vollucci,,Computer Science,10,1,No Credit,Non-Letter Grade,Not Pass,Beauty Joy Computng
1,20,,,28630,Rohin Shah; Shidi Huang,4,Computer Science,61A,1,A,Letter Grade,A+,Str Interp Cmp Prgs
2,24,,,28630,Rohin Shah; Shidi Huang,4,Computer Science,61A,1,A,Letter Grade,A,Str Interp Cmp Prgs
3,5,,,28630,Rohin Shah; Shidi Huang,3.7,Computer Science,61A,1,A,Letter Grade,A-,Str Interp Cmp Prgs
4,27,,,28630,Rohin Shah; Shidi Huang,3.3,Computer Science,61A,1,B,Letter Grade,B+,Str Interp Cmp Prgs
5,29,,,28630,Rohin Shah; Shidi Huang,3,Computer Science,61A,1,B,Letter Grade,B,Str Interp Cmp Prgs
6,25,,,28630,Rohin Shah; Shidi Huang,2.7,Computer Science,61A,1,B,Letter Grade,B-,Str Interp Cmp Prgs
7,7,,,28630,Rohin Shah; Shidi Huang,2.3,Computer Science,61A,1,C,Letter Grade,C+,Str Interp Cmp Prgs
8,8,,,28630,Rohin Shah; Shidi Huang,2,Computer Science,61A,1,C,Letter Grade,C,Str Interp Cmp Prgs
9,8,,,28630,Rohin Shah; Shidi Huang,1.7,Computer Science,61A,1,C,Letter Grade,C-,Str Interp Cmp Prgs
